FeatureName,Cellprofiler,Imea,MATLAB,MITK,NIST,Nyxus,PyRadiomics,RadiomicsJ,WC,Remark,fcode,Remark2
28,1,0,0,0,0,0,0,0,0,[IQ] inten Mean I,316,[IQ] inten Mean I (316)
29,1,0,0,0,0,0,0,0,0,[IQ] inten Med I,317,[IQ] inten Med I (317)
30,1,0,0,0,0,0,0,0,0,[IQ] inten Std I,318,[IQ] inten Std I (318)
31,1,0,0,0,0,0,0,0,0,[IQ] inten MAD I,319,[IQ] inten MAD I (319)
32,1,0,0,0,0,0,0,0,0,[IQ] inten Max I,320,[IQ] inten Max I (320)
33,1,0,0,0,0,0,0,0,0,[IQ] inten Min I,321,[IQ] inten Min I (321)
34,1,0,0,0,0,0,0,0,0,[IQ] inten TotArea,322,[IQ] inten TotArea (322)
35,1,0,0,0,0,0,0,0,0,[IQ] inten TotVol,323,[IQ] inten TotVol (323)
36,1,0,0,0,0,0,0,0,0,[IQ] inten Scaling,324,[IQ] inten Scaling (324)
37,0,0,0,0,0,1,0,0,0,[IQ] Sharpness,325,[IQ] Sharpness (325)
38,1,0,0,0,0,0,0,0,0,[IQ] Threshold,326,[IQ] Threshold (326)
