,ROI_label,Co-occurenced Based Features::Overall Joint Maximum,Co-occurenced Based Features::Overall Joint Average,Co-occurenced Based Features::Overall Joint Variance,Co-occurenced Based Features::Overall Joint Entropy,Co-occurenced Based Features::Overall Difference Average,Co-occurenced Based Features::Overall Difference Variance,Co-occurenced Based Features::Overall Difference Entropy,Co-occurenced Based Features::Overall Sum Average,Co-occurenced Based Features::Overall Sum Variance,Co-occurenced Based Features::Overall Sum Entropy,Co-occurenced Based Features::Overall Angular Second Moment,Co-occurenced Based Features::Overall Contrast,Co-occurenced Based Features::Overall Dissimilarity,Co-occurenced Based Features::Overall Inverse Difference,Co-occurenced Based Features::Overall Inverse Difference Normalized,Co-occurenced Based Features::Overall Inverse Difference Moment,Co-occurenced Based Features::Overall Inverse Difference Moment Normalized,Co-occurenced Based Features::Overall Inverse Variance,Co-occurenced Based Features::Overall Correlation,Co-occurenced Based Features::Overall Autocorrelation,Co-occurenced Based Features::Overall Cluster Tendency,Co-occurenced Based Features::Overall Cluster Shade,Co-occurenced Based Features::Overall Cluster Prominence,Co-occurenced Based Features::Overall First Measure of Information Correlation,Co-occurenced Based Features::Overall Second Measure of Information Correlation,Co-occurenced Based Features::Overall Row Maximum,Co-occurenced Based Features::Overall Row Average,Co-occurenced Based Features::Overall Row Variance,Co-occurenced Based Features::Overall Row Entropy,Co-occurenced Based Features::Overall First Row-Column Entropy,Co-occurenced Based Features::Overall Second Row-Column Entropy,Co-occurenced Based Features::Mean Joint Maximum,Co-occurenced Based Features::Mean Joint Average,Co-occurenced Based Features::Mean Joint Variance,Co-occurenced Based Features::Mean Joint Entropy,Co-occurenced Based Features::Mean Difference Average,Co-occurenced Based Features::Mean Difference Variance,Co-occurenced Based Features::Mean Difference Entropy,Co-occurenced Based Features::Mean Sum Average,Co-occurenced Based Features::Mean Sum Variance,Co-occurenced Based Features::Mean Sum Entropy,Co-occurenced Based Features::Mean Angular Second Moment,Co-occurenced Based Features::Mean Contrast,Co-occurenced Based Features::Mean Dissimilarity,Co-occurenced Based Features::Mean Inverse Difference,Co-occurenced Based Features::Mean Inverse Difference Normalized,Co-occurenced Based Features::Mean Inverse Difference Moment,Co-occurenced Based Features::Mean Inverse Difference Moment Normalized,Co-occurenced Based Features::Mean Inverse Variance,Co-occurenced Based Features::Mean Correlation,Co-occurenced Based Features::Mean Autocorrelation,Co-occurenced Based Features::Mean Cluster Tendency,Co-occurenced Based Features::Mean Cluster Shade,Co-occurenced Based Features::Mean Cluster Prominence,Co-occurenced Based Features::Mean First Measure of Information Correlation,Co-occurenced Based Features::Mean Second Measure of Information Correlation,Co-occurenced Based Features::Mean Row Maximum,Co-occurenced Based Features::Mean Row Average,Co-occurenced Based Features::Mean Row Variance,Co-occurenced Based Features::Mean Row Entropy,Co-occurenced Based Features::Mean First Row-Column Entropy,Co-occurenced Based Features::Mean Second Row-Column Entropy,Co-occurenced Based Features::Std.Dev. Joint Maximum,Co-occurenced Based Features::Std.Dev. Joint Average,Co-occurenced Based Features::Std.Dev. Joint Variance,Co-occurenced Based Features::Std.Dev. Joint Entropy,Co-occurenced Based Features::Std.Dev. Difference Average,Co-occurenced Based Features::Std.Dev. Difference Variance,Co-occurenced Based Features::Std.Dev. Difference Entropy,Co-occurenced Based Features::Std.Dev. Sum Average,Co-occurenced Based Features::Std.Dev. Sum Variance,Co-occurenced Based Features::Std.Dev. Sum Entropy,Co-occurenced Based Features::Std.Dev. Angular Second Moment,Co-occurenced Based Features::Std.Dev. Contrast,Co-occurenced Based Features::Std.Dev. Dissimilarity,Co-occurenced Based Features::Std.Dev. Inverse Difference,Co-occurenced Based Features::Std.Dev. Inverse Difference Normalized,Co-occurenced Based Features::Std.Dev. Inverse Difference Moment,Co-occurenced Based Features::Std.Dev. Inverse Difference Moment Normalized,Co-occurenced Based Features::Std.Dev. Inverse Variance,Co-occurenced Based Features::Std.Dev. Correlation,Co-occurenced Based Features::Std.Dev. Autocorrelation,Co-occurenced Based Features::Std.Dev. Cluster Tendency,Co-occurenced Based Features::Std.Dev. Cluster Shade,Co-occurenced Based Features::Std.Dev. Cluster Prominence,Co-occurenced Based Features::Std.Dev. First Measure of Information Correlation,Co-occurenced Based Features::Std.Dev. Second Measure of Information Correlation,Co-occurenced Based Features::Std.Dev. Row Maximum,Co-occurenced Based Features::Std.Dev. Row Average,Co-occurenced Based Features::Std.Dev. Row Variance,Co-occurenced Based Features::Std.Dev. Row Entropy,Co-occurenced Based Features::Std.Dev. First Row-Column Entropy,Co-occurenced Based Features::Std.Dev. Second Row-Column Entropy
0,11,0.01,178.9,1446.16,9.08,25.01,371.87,5.76,357.81,4787.35,7.34,0.0,997.3,25.01,0.09,0.92,0.03,0.99,0.02,0.66,32954.04,4787.35,-36340.93,57812177.3,-0.38,0.99,0.05,178.9,1446.16,5.61,11.21,11.21,0.0,55.06,444.56,2.27,7.72,110.57,1.61,110.11,1469.07,1.89,0.0,309.19,7.72,0.03,0.28,0.01,0.3,0.01,0.2,10141.4,1469.07,-10716.36,17662895.86,-0.21,0.31,0.02,55.06,444.56,1.72,3.44,3.44,0.01,82.59,667.12,3.4,11.79,188.96,2.42,165.17,2213.18,2.83,0.0,504.9,11.79,0.04,0.42,0.02,0.45,0.01,0.31,15212.98,2213.18,26669.61,26856072.29,0.32,0.46,0.02,82.59,667.12,2.58,5.16,5.16
0,12,0.01,160.66,1274.15,10.06,17.26,176.62,5.39,321.33,4622.1,7.59,0.0,474.49,17.26,0.13,0.94,0.07,0.99,0.03,0.81,26849.92,4622.1,69703.92,50927025.89,-0.28,0.98,0.04,160.66,1274.15,5.85,11.7,11.7,0.0,49.44,392.05,2.73,5.32,52.45,1.62,98.87,1421.71,2.18,0.0,146.47,5.32,0.04,0.29,0.02,0.31,0.01,0.25,8261.4,1421.71,21446.19,15664518.71,-0.15,0.31,0.01,49.44,392.05,1.8,3.6,3.6,0.0,74.15,588.09,4.09,8.11,84.11,2.43,148.31,2133.88,3.28,0.0,234.45,8.11,0.06,0.43,0.03,0.46,0.01,0.38,12392.12,2133.88,33215.69,23541628.05,0.22,0.46,0.02,74.15,588.09,2.7,5.4,5.4
0,13,0.0,177.38,1182.05,10.75,16.82,166.64,5.44,354.77,4278.5,7.81,0.0,449.69,16.82,0.13,0.94,0.07,0.99,0.05,0.81,32422.52,4278.5,-92083.9,50139018.75,-0.31,0.99,0.03,177.38,1182.05,6.37,12.75,12.75,0.0,54.58,363.61,2.87,5.19,48.88,1.64,109.16,1315.44,2.26,0.0,139.01,5.19,0.04,0.29,0.02,0.31,0.02,0.25,9976.36,1315.44,-28205.55,15406725.57,-0.17,0.31,0.01,54.58,363.61,1.96,3.92,3.92,0.0,81.87,545.44,4.3,7.95,75.91,2.46,163.75,1975.25,3.39,0.0,221.99,7.95,0.06,0.43,0.03,0.46,0.02,0.37,14964.67,1975.25,42535.22,23192656.76,0.25,0.46,0.01,81.87,545.44,2.94,5.88,5.88
0,14,0.0,113.92,1957.25,10.45,19.68,347.65,5.61,227.85,7093.88,7.84,0.0,735.11,19.68,0.12,0.93,0.05,0.99,0.04,0.81,14568.05,7093.88,540654.48,176321596.58,-0.42,1.0,0.03,113.92,1957.25,6.62,13.24,13.24,0.0,35.06,602.31,2.69,6.09,102.7,1.65,70.11,2181.01,2.18,0.0,228.23,6.09,0.04,0.29,0.02,0.3,0.01,0.25,4482.27,2181.01,166317.41,54170855.23,-0.21,0.31,0.01,35.06,602.31,2.04,4.07,4.07,0.0,52.58,903.54,4.04,9.41,166.52,2.48,105.17,3273.61,3.27,0.0,377.65,9.41,0.06,0.43,0.03,0.46,0.02,0.38,6723.56,3273.61,250036.41,81531272.42,0.31,0.46,0.01,52.58,903.54,3.05,6.11,6.11
0,15,0.0,166.04,1368.22,9.93,19.33,214.76,5.53,332.07,4884.56,7.59,0.0,588.32,19.33,0.11,0.93,0.05,0.99,0.03,0.79,28641.98,4884.56,-32346.24,78693832.82,-0.32,0.99,0.03,166.04,1368.22,5.93,11.85,11.85,0.0,51.09,420.41,2.59,5.96,64.19,1.63,102.18,1499.55,2.09,0.0,182.09,5.96,0.03,0.29,0.01,0.3,0.01,0.24,8812.39,1499.55,-9625.25,24084639.67,-0.18,0.31,0.01,51.09,420.41,1.82,3.64,3.64,0.0,76.63,631.39,3.89,9.07,102.51,2.45,153.27,2258.77,3.13,0.0,289.35,9.07,0.05,0.43,0.02,0.46,0.02,0.36,13218.89,2258.77,18566.45,36643515.21,0.27,0.46,0.02,76.63,631.39,2.73,5.46,5.46
0,16,0.0,171.56,1962.65,10.0,18.03,205.76,5.49,343.13,7319.67,7.75,0.0,530.94,18.03,0.12,0.94,0.05,0.99,0.05,0.86,31131.1,7319.67,16947.58,92494639.86,-0.43,1.0,0.03,171.56,1962.65,6.35,12.7,12.7,0.0,52.79,603.88,2.55,5.57,60.16,1.61,105.59,2250.67,2.11,0.0,164.83,5.57,0.04,0.29,0.02,0.31,0.02,0.27,9580.36,2250.67,5288.08,28436870.16,-0.21,0.31,0.01,52.79,603.88,1.95,3.9,3.9,0.0,79.19,905.96,3.83,8.58,96.67,2.42,158.39,3377.4,3.16,0.0,265.84,8.58,0.06,0.43,0.03,0.46,0.03,0.4,14370.88,3377.4,13520.3,42740907.33,0.32,0.46,0.01,79.19,905.96,2.93,5.86,5.86
0,17,0.0,152.99,2116.22,10.33,24.28,428.96,5.91,305.98,7446.54,7.95,0.0,1018.33,24.28,0.1,0.92,0.04,0.99,0.03,0.76,25012.68,7446.54,1657.08,111469078.1,-0.37,1.0,0.02,152.99,2116.22,6.34,12.67,12.67,0.0,47.08,650.43,2.66,7.5,124.69,1.73,94.16,2286.08,2.19,0.0,315.65,7.5,0.03,0.28,0.01,0.3,0.01,0.23,7696.99,2286.08,1849.98,34091506.89,-0.2,0.31,0.01,47.08,650.43,1.95,3.9,3.9,0.0,70.62,976.09,3.99,11.61,210.78,2.6,141.25,3445.85,3.28,0.0,529.05,11.61,0.05,0.42,0.02,0.45,0.01,0.35,11545.78,3445.85,12177.17,52431078.25,0.29,0.46,0.01,70.62,976.09,2.92,5.84,5.84
0,18,0.01,147.39,2319.74,8.43,33.76,626.53,5.88,294.77,7512.58,6.96,0.0,1766.36,33.76,0.06,0.89,0.01,0.98,0.02,0.62,23159.3,7512.58,174371.57,129285547.19,-0.46,1.0,0.05,147.39,2319.74,5.45,10.91,10.91,0.01,45.38,712.73,1.98,10.5,166.33,1.47,90.75,2296.46,1.63,0.0,554.47,10.5,0.02,0.27,0.0,0.3,0.01,0.19,7128.27,2296.46,56586.71,39413619.03,-0.25,0.31,0.01,45.38,712.73,1.67,3.35,3.35,0.01,68.07,1069.71,2.97,16.67,282.61,2.21,136.14,3494.26,2.45,0.01,974.74,16.67,0.03,0.41,0.01,0.45,0.01,0.3,10692.82,3494.26,90313.23,61973315.96,0.38,0.46,0.02,68.07,1069.71,2.51,5.02,5.02
0,19,0.01,162.34,3103.92,10.01,33.7,2040.71,6.13,324.67,9239.04,7.96,0.0,3176.63,33.7,0.11,0.9,0.06,0.97,0.03,0.49,27868.6,9239.04,-187620.01,278021973.51,-0.49,1.0,0.03,162.34,3103.92,6.62,13.24,13.24,0.0,49.97,953.43,2.55,10.45,606.3,1.74,99.94,2830.1,2.13,0.0,983.62,10.45,0.03,0.28,0.02,0.3,0.01,0.15,8578.03,2830.1,-54767.74,84805927.21,-0.23,0.31,0.01,49.97,953.43,2.03,4.07,4.07,0.01,74.96,1430.35,3.83,16.37,926.07,2.61,149.93,4270.71,3.19,0.0,1532.16,16.37,0.05,0.41,0.03,0.45,0.02,0.23,12868.98,4270.71,102850.36,131044908.55,0.34,0.46,0.01,74.96,1430.35,3.05,6.1,6.1
0,20,0.01,178.06,1568.02,7.63,25.69,341.73,5.23,356.11,5270.51,6.1,0.01,1001.55,25.69,0.09,0.91,0.04,0.99,0.01,0.68,32771.63,5270.51,-31830.11,71252741.31,-0.36,0.98,0.07,178.06,1568.02,4.64,9.28,9.28,0.01,54.79,479.58,1.82,8.02,94.53,1.32,109.58,1600.44,1.49,0.01,317.88,8.02,0.03,0.28,0.01,0.3,0.0,0.2,10078.89,1600.44,-7953.49,21332519.73,-0.22,0.31,0.02,54.79,479.58,1.42,2.84,2.84,0.01,82.2,720.59,2.73,12.61,171.27,1.98,164.39,2448.97,2.24,0.01,574.01,12.61,0.04,0.42,0.02,0.45,0.0,0.33,15124.28,2448.97,14239.0,34908519.91,0.33,0.46,0.04,82.2,720.59,2.13,4.26,4.26
0,21,0.0,147.28,2005.91,10.67,22.98,395.3,5.84,294.56,7100.31,7.99,0.0,923.32,22.98,0.1,0.92,0.04,0.99,0.04,0.77,23235.65,7100.31,-64588.27,122784567.1,-0.45,1.0,0.02,147.28,2005.91,6.87,13.73,13.73,0.0,45.33,616.36,2.72,7.13,108.85,1.71,90.66,2176.28,2.22,0.0,289.16,7.13,0.03,0.28,0.01,0.3,0.01,0.23,7150.28,2176.28,-18403.81,37566509.17,-0.22,0.31,0.01,45.33,616.36,2.11,4.22,4.22,0.0,68.0,924.77,4.08,11.38,191.63,2.56,136.0,3286.25,3.32,0.0,530.8,11.38,0.05,0.43,0.02,0.46,0.02,0.36,10725.58,3286.25,30451.29,57501731.31,0.33,0.46,0.01,68.0,924.77,3.17,6.33,6.33
0,22,0.01,141.35,2303.94,10.36,16.89,231.92,5.39,282.7,8698.69,8.1,0.0,517.06,16.89,0.14,0.94,0.07,0.99,0.04,0.89,22024.67,8698.69,-5664.01,162127933.87,-0.47,1.0,0.03,141.35,2303.94,6.76,13.53,13.53,0.0,43.49,708.79,2.71,5.21,69.71,1.6,86.98,2675.54,2.25,0.0,159.61,5.21,0.04,0.29,0.02,0.31,0.01,0.27,6776.41,2675.54,-1840.32,49849695.77,-0.21,0.31,0.01,43.49,708.79,2.08,4.16,4.16,0.0,65.24,1063.32,4.07,7.92,109.04,2.4,130.47,4015.6,3.38,0.0,249.01,7.92,0.07,0.43,0.04,0.46,0.02,0.41,10164.82,4015.6,8267.53,74959735.81,0.32,0.46,0.02,65.24,1063.32,3.12,6.24,6.24
0,23,0.0,157.2,2071.83,10.25,19.71,246.86,5.64,314.41,7651.99,7.91,0.0,635.31,19.71,0.12,0.93,0.06,0.99,0.04,0.85,26467.17,7651.99,222427.71,121067551.85,-0.45,1.0,0.03,157.2,2071.83,6.63,13.25,13.25,0.0,48.37,637.25,2.65,6.08,72.77,1.67,96.73,2352.54,2.18,0.0,196.44,6.08,0.04,0.29,0.02,0.3,0.01,0.26,8142.14,2352.54,68292.86,37200378.82,-0.22,0.31,0.01,48.37,637.25,2.04,4.07,4.07,0.0,72.55,955.99,3.97,9.31,115.15,2.5,145.1,3530.91,3.27,0.0,314.27,9.31,0.06,0.43,0.03,0.46,0.02,0.39,12213.85,3530.91,103056.23,55892930.13,0.32,0.46,0.01,72.55,955.99,3.06,6.11,6.11
0,24,0.01,153.29,2308.14,9.75,19.0,206.85,5.52,306.59,8664.85,7.79,0.0,567.71,19.0,0.12,0.93,0.06,0.99,0.03,0.88,25523.5,8664.85,336285.8,169323324.83,-0.48,1.0,0.03,153.29,2308.14,6.41,12.83,12.83,0.0,47.18,709.59,2.47,5.88,58.21,1.6,94.36,2661.82,2.05,0.0,176.54,5.88,0.04,0.29,0.02,0.31,0.01,0.27,7855.8,2661.82,103647.93,51962524.81,-0.23,0.31,0.01,47.18,709.59,1.97,3.94,3.94,0.01,70.77,1064.46,3.7,9.15,90.55,2.4,141.54,3994.28,3.08,0.0,293.01,9.15,0.06,0.43,0.03,0.46,0.02,0.41,11785.69,3994.28,155922.28,78050838.94,0.35,0.46,0.01,70.77,1064.46,2.96,5.91,5.91
0,25,0.01,185.58,942.2,8.54,18.37,182.55,5.32,371.16,3248.67,6.96,0.0,520.12,18.37,0.1,0.94,0.03,0.99,0.03,0.72,35121.46,3248.67,15667.22,27687133.34,-0.48,1.0,0.06,185.58,942.2,5.6,11.21,11.21,0.0,57.11,288.86,2.06,5.73,50.84,1.45,114.22,991.19,1.71,0.0,164.25,5.73,0.03,0.29,0.01,0.31,0.01,0.22,10807.85,991.19,5279.64,8401001.24,-0.24,0.31,0.02,57.11,288.86,1.71,3.42,3.42,0.01,85.67,433.87,3.09,8.97,90.11,2.17,171.34,1504.99,2.56,0.0,290.64,8.97,0.04,0.43,0.01,0.46,0.02,0.34,16212.06,1504.99,8918.21,13076903.79,0.37,0.46,0.03,85.67,433.87,2.57,5.14,5.14
0,26,0.19,180.97,4338.17,8.25,25.44,589.64,5.6,361.94,16115.99,6.94,0.04,1236.7,25.44,0.26,0.92,0.22,0.98,0.04,0.86,36469.66,16115.99,-548533.14,427541277.62,-0.48,1.0,0.26,180.97,4338.17,5.43,10.85,10.85,0.06,55.7,1333.75,2.13,7.86,170.01,1.58,111.39,4950.57,1.83,0.01,384.42,7.86,0.08,0.28,0.07,0.3,0.01,0.26,11224.06,4950.57,-166880.73,131200481.04,-0.22,0.31,0.08,55.7,1333.75,1.67,3.33,3.33,0.09,83.55,2001.04,3.19,12.35,285.98,2.38,167.1,7439.82,2.74,0.02,658.26,12.35,0.12,0.42,0.1,0.45,0.02,0.4,16836.87,7439.82,251457.37,197590914.56,0.33,0.46,0.12,83.55,2001.04,2.5,5.0,5.0
0,27,0.0,129.99,1958.49,10.53,18.29,240.49,5.56,259.98,7259.1,8.03,0.0,574.85,18.29,0.13,0.94,0.06,0.99,0.05,0.85,18567.83,7259.1,417958.68,157119597.75,-0.44,1.0,0.03,129.99,1958.49,6.73,13.46,13.46,0.0,40.0,602.32,2.73,5.64,70.58,1.64,80.0,2231.47,2.23,0.0,177.81,5.64,0.04,0.29,0.02,0.31,0.02,0.26,5713.71,2231.47,128914.6,48273671.78,-0.21,0.31,0.01,40.0,602.32,2.07,4.14,4.14,0.0,60.0,903.54,4.09,8.68,113.84,2.46,120.0,3350.64,3.35,0.0,289.79,8.68,0.06,0.43,0.03,0.46,0.03,0.39,8570.84,3350.64,193562.25,72712892.97,0.31,0.46,0.01,60.0,903.54,3.1,6.21,6.21
0,28,0.0,148.15,1922.09,9.62,18.77,193.05,5.5,296.31,7142.91,7.69,0.0,545.43,18.77,0.11,0.93,0.05,0.99,0.03,0.86,23598.84,7142.91,219731.01,127573644.2,-0.48,1.0,0.04,148.15,1922.09,6.31,12.62,12.62,0.0,45.59,590.78,2.42,5.8,57.45,1.59,91.17,2194.08,2.02,0.0,169.05,5.8,0.03,0.29,0.02,0.31,0.01,0.26,7260.51,2194.08,67670.3,39049479.92,-0.23,0.31,0.01,45.59,590.78,1.94,3.88,3.88,0.01,68.38,886.44,3.63,8.83,90.82,2.38,136.76,3294.0,3.04,0.0,265.17,8.83,0.05,0.43,0.02,0.46,0.02,0.4,10892.48,3294.0,102426.16,58742370.16,0.35,0.46,0.02,68.38,886.44,2.91,5.81,5.81
