,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
93,-1.0,-1.0,-1.0,0.8423,0.8697,-1.0,-0.1167,0.4411,E|SUMV
94,0.787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 0
95,0.7808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 45
96,0.7974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 90
97,0.7893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 135
98,-1.0,-1.0,-1.0,-1.0,0.793,0.9888,-1.0,0.453,E|VAR
99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLRLM
100,-1.0,-1.0,-1.0,0.6293,-1.0,0.9882,-0.1858,-1.0,SRE
101,-1.0,-1.0,-1.0,0.9838,-1.0,0.9976,-0.0417,-1.0,LRE
102,-1.0,-1.0,-1.0,0.5585,-1.0,0.9996,0.0195,-1.0,GLNU
103,-1.0,-1.0,-1.0,0.9001,-1.0,0.9998,-0.1543,-1.0,GLNUN
104,-1.0,-1.0,-1.0,0.9988,-1.0,1.0,0.0415,-1.0,RLNU
105,-1.0,-1.0,-1.0,0.7781,-1.0,0.9853,-0.2038,-1.0,RLNUN
106,-1.0,-1.0,-1.0,0.8575,-1.0,0.9949,-0.0971,-1.0,RP
107,-1.0,-1.0,-1.0,0.7686,-1.0,0.9976,-0.0834,-1.0,GLV
108,-1.0,-1.0,-1.0,0.9905,-1.0,0.9987,-0.0179,-1.0,RV
109,-1.0,-1.0,-1.0,0.9253,-1.0,0.9998,-0.0643,-1.0,RE
110,-1.0,-1.0,-1.0,-0.1138,-1.0,0.9837,-0.0682,-1.0,LGLRE
111,-1.0,-1.0,-1.0,0.0389,-1.0,0.9999,0.1629,-1.0,HGLRE
112,-1.0,-1.0,-1.0,-0.1119,-1.0,0.995,-0.0779,-1.0,SRLGLE
113,-1.0,-1.0,-1.0,0.0152,-1.0,0.9999,0.1803,-1.0,SRHGLE
114,-1.0,-1.0,-1.0,-0.1199,-1.0,0.8596,-0.038,-1.0,LRLGLE
115,-1.0,-1.0,-1.0,0.4605,-1.0,0.9985,-0.0368,-1.0,LRHGLE
116,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLDZM
117,-1.0,-1.0,-1.0,0.3534,-1.0,-1.0,0.0264,-1.0,SDE
118,-1.0,-1.0,-1.0,0.5925,-1.0,-1.0,0.0939,-1.0,LDE
119,-1.0,-1.0,-1.0,-0.1074,-1.0,-1.0,-0.15,-1.0,LGLZE
120,-1.0,-1.0,-1.0,-0.0316,-1.0,-1.0,0.1759,-1.0,HGHZE
121,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.1408,-1.0,SDLGLE
122,-1.0,-1.0,-1.0,0.1534,-1.0,-1.0,0.4061,-1.0,SDHGLE
123,-1.0,-1.0,-1.0,-0.1282,-1.0,-1.0,-0.0539,-1.0,LDLGLE
124,-1.0,-1.0,-1.0,0.2505,-1.0,-1.0,0.0257,-1.0,LDHGLE
125,-1.0,-1.0,-1.0,0.6419,-1.0,-1.0,0.1285,-1.0,GLNU
126,-1.0,-1.0,-1.0,0.9566,-1.0,-1.0,-0.1711,-1.0,GLNUN
127,-1.0,-1.0,-1.0,0.8417,-1.0,-1.0,-0.072,-1.0,ZDNU
128,-1.0,-1.0,-1.0,0.4661,-1.0,-1.0,0.1002,-1.0,ZDNUN
129,-1.0,-1.0,-1.0,0.8179,-1.0,-1.0,-0.044,-1.0,ZP
130,-1.0,-1.0,-1.0,-0.0845,-1.0,-1.0,-1.0,-1.0,GLM
131,-1.0,-1.0,-1.0,0.6741,-1.0,-1.0,-0.0084,-1.0,GLV
132,-1.0,-1.0,-1.0,0.5385,-1.0,-1.0,-1.0,-1.0,ZDM
133,-1.0,-1.0,-1.0,0.6504,-1.0,-1.0,0.1683,-1.0,ZDV
134,-1.0,-1.0,-1.0,0.9925,-1.0,-1.0,0.0098,-1.0,ZDE
135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLSZM
136,-1.0,-1.0,-1.0,-1.0,-1.0,0.9897,-0.0521,-1.0,SAE
137,-1.0,-1.0,-1.0,-1.0,-1.0,0.9983,-0.0131,-1.0,LAE
138,-1.0,-1.0,-1.0,-1.0,-1.0,0.9995,0.1267,-1.0,GLNU
139,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999,-0.1696,-1.0,GLNUN
140,-1.0,-1.0,-1.0,-1.0,-1.0,0.9996,0.0577,-1.0,SZNU
141,-1.0,-1.0,-1.0,-1.0,-1.0,0.9889,-0.0655,-1.0,SZNUN
142,-1.0,-1.0,-1.0,-1.0,-1.0,0.9891,-0.1152,-1.0,ZP
143,-1.0,-1.0,-1.0,-1.0,-1.0,0.9997,-0.0053,-1.0,GLV
144,-1.0,-1.0,-1.0,-1.0,-1.0,0.9993,-0.0094,-1.0,ZV
145,-1.0,-1.0,-1.0,-1.0,-1.0,0.9998,-0.0059,-1.0,ZE
146,-1.0,-1.0,-1.0,-1.0,-1.0,0.9954,-0.1481,-1.0,LGLZE
147,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999,0.1777,-1.0,HGLZE
148,-1.0,-1.0,-1.0,-1.0,-1.0,0.9967,-0.1789,-1.0,SALGLE
149,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999,0.1887,-1.0,SAHGLE
150,-1.0,-1.0,-1.0,-1.0,-1.0,0.5543,0.006,-1.0,LALGLE
151,-1.0,-1.0,-1.0,-1.0,-1.0,0.9987,-0.046,-1.0,LAHGLE
152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLDM
153,-1.0,-1.0,-1.0,-1.0,-1.0,0.9881,-1.0,-1.0,SDE
154,-1.0,-1.0,-1.0,-1.0,-1.0,0.9978,-1.0,-1.0,LDE
155,-1.0,-1.0,-1.0,-1.0,-1.0,0.9904,-1.0,-1.0,GLNU
156,-1.0,-1.0,-1.0,-1.0,-1.0,0.9995,-1.0,-1.0,DNU
157,-1.0,-1.0,-1.0,-1.0,-1.0,0.986,-1.0,-1.0,DNUN
158,-1.0,-1.0,-1.0,-1.0,-1.0,0.9944,-1.0,-1.0,GLV
159,-1.0,-1.0,-1.0,-1.0,-1.0,0.9982,-1.0,-1.0,DV
160,-1.0,-1.0,-1.0,-1.0,-1.0,0.9997,-1.0,-1.0,DE
161,-1.0,-1.0,-1.0,-1.0,-1.0,0.9559,-1.0,-1.0,LGLE
162,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999,-1.0,-1.0,GHLE
163,-1.0,-1.0,-1.0,-1.0,-1.0,0.9998,-1.0,-1.0,SDLGLE
164,-1.0,-1.0,-1.0,-1.0,-1.0,0.9998,-1.0,-1.0,SDHGLE
